Num_of_switch,IDs,Time
5,"1, 4, 10, 7, 5",29.936765909194946
5,"1, 4, 10, 7, 5",29.94469976425171
3,"1, 8, 5",29.978729009628296
3,"1, 8, 5",30.027944803237915
3,"1, 8, 5",30.0453417301178
3,"1, 8, 5",30.061785459518433
3,"1, 8, 5",30.069727420806885
2,"1, 5",30.077426433563232
2,"1, 5",30.085461616516113
2,"1, 5",30.092060089111328
2,"1, 5",30.097114086151123
2,"1, 5",30.10216999053955
2,"1, 5",31.02237033843994
2,"1, 5",31.030288219451904
2,"1, 5",31.04555892944336
2,"1, 5",31.07021999359131
2,"1, 5",31.079605102539062
