Num_of_switch,IDs,Time
4,"1, 4, 7, 9",9.875396490097048
4,"1, 4, 7, 9",9.890156030654909
4,"1, 4, 7, 9",9.92244005203247
4,"1, 4, 7, 9",9.965896606445312
4,"1, 4, 7, 9",9.997767925262453
3,"1, 3, 9",10.023329257965088
3,"1, 3, 9",10.042171478271484
2,"1, 9",10.048176527023317
2,"1, 9",10.056833028793337
2,"1, 9",10.063720226287842
2,"1, 9",10.070657014846804
2,"1, 9",10.076443672180176
2,"1, 9",10.989877462387085
2,"1, 9",10.9970862865448
2,"1, 9",11.026344060897827
2,"1, 9",11.044331550598145
2,"1, 9",11.054388046264648
