Num_of_switch,IDs,Time
5,"1, 26, 19, 7, 29",7.063441038131714
4,"1, 26, 23, 29",7.17807674407959
3,"1, 26, 29",7.2453293800354
3,"1, 26, 29",7.300814867019652
3,"1, 26, 29",7.33516526222229
3,"1, 26, 29",7.356398582458496
3,"1, 26, 29",7.373633623123169
2,"1, 29",7.451677322387695
2,"1, 29",7.465006589889526
2,"1, 29",7.4883131980896
2,"1, 29",7.530488014221191
2,"1, 29",7.556253910064697
2,"1, 29",7.807380676269531
2,"1, 29",7.881870746612549
2,"1, 29",7.9075772762298575
2,"1, 29",7.959744930267334
2,"1, 29",8.009708166122437
