Num_of_switch,IDs,Time
5,"1, 26, 19, 7, 28",8.493701696395874
4,"1, 26, 19, 28",8.557837724685669
3,"1, 26, 28",8.646766901016235
3,"1, 26, 28",8.741960048675537
3,"1, 26, 28",8.808024883270264
3,"1, 26, 28",8.877020597457888
3,"1, 26, 28",8.995394468307493
2,"1, 28",9.082435131072998
2,"1, 28",9.128657341003418
2,"1, 28",9.149906396865843
2,"1, 28",9.197693824768066
2,"1, 28",9.215292215347288
2,"1, 28",9.46423363685608
2,"1, 28",9.519056081771849
2,"1, 28",9.569844007492064
2,"1, 28",9.653170108795166
2,"1, 28",9.722591161727905
