Num_of_switch,IDs,Time
5,"1, 26, 19, 7, 20",25.046034336090088
4,"1, 27, 6, 20",25.271664381027218
3,"1, 2, 20",25.298438310623172
3,"1, 2, 20",25.50100898742676
3,"1, 2, 20",25.536998510360718
3,"1, 2, 20",25.630822896957397
3,"1, 2, 20",25.72314691543579
2,"1, 20",25.74922132492065
2,"1, 20",25.75350522994995
2,"1, 20",25.8169059753418
2,"1, 20",25.824840307235718
2,"1, 20",25.84325623512268
2,"1, 20",26.052417993545532
2,"1, 20",26.14543509483337
2,"1, 20",26.19880986213684
2,"1, 20",26.29957628250122
2,"1, 20",26.38617992401123
