Num_of_switch,IDs,Time
4,"1, 26, 18, 21",23.00165724754333
3,"1, 15, 21",23.07245469093323
3,"1, 15, 21",23.33144855499268
3,"1, 15, 21",23.40540099143982
3,"1, 15, 21",23.451162815093994
3,"1, 15, 21",23.469666004180908
2,"1, 21",23.524842023849487
2,"1, 21",23.536646842956554
2,"1, 21",23.62301206588745
2,"1, 21",23.693070888519287
2,"1, 21",23.77472734451294
2,"1, 21",24.121443271636963
2,"1, 21",24.16030955314636
2,"1, 21",24.199022054672238
2,"1, 21",24.227660417556766
2,"1, 21",24.251734256744385
