Num_of_switch,IDs,Time
4,"1, 26, 19, 25",15.161203145980835
3,"1, 27, 25",15.255664348602295
3,"1, 27, 25",15.375111818313599
3,"1, 27, 25",15.402374505996704
3,"1, 27, 25",15.423758268356323
3,"1, 27, 25",15.436479330062866
2,"1, 25",15.47256064414978
2,"1, 25",15.48627519607544
2,"1, 25",15.504641771316528
2,"1, 25",15.553692102432251
2,"1, 25",15.57416319847107
2,"1, 25",15.886983394622805
2,"1, 25",15.936573505401613
2,"1, 25",15.953706502914429
2,"1, 25",16.062881231307983
2,"1, 25",16.155412197113037
